V (mL),pH,NaOH M
1e-08,2.279017907160893,-9.500762771549299e-08
1.6482772671317432,2.3822601505229044,-15.827239045877132
3.0768700480591398,2.4855023938849157,-29.796046246122398
4.307007189867786,2.5887446372469265,-41.98984635682917
5.357833748418671,2.6919868806089378,-52.513793908814634
6.247561521406933,2.795229123970949,-61.493471737503256
6.994028631275216,2.8984713673329603,-69.0712897673662
7.614748471229854,3.0017136106949716,-75.40040762479705
8.126643833326288,3.104955854056983,-80.63741290679796
8.54566878818381,3.208198097418994,-84.93526214810255
8.886466047136373,3.3114403407810054,-88.43758813531576
9.162136558294845,3.4146825841430166,-91.27486430956206
9.384140130542692,3.5179248275050274,-93.56240510277645
9.562310689742269,3.6211670708670387,-95.39988022685607
9.704954965842314,3.72440931422905,-96.87191344274044
9.819002074034081,3.827651557591061,-98.04935541252145
9.910176896177505,3.930893800953072,-98.99089999407741
9.983177736991589,4.034136044315083,-99.74480809665461
10.041845873531498,4.137378287677095,-100.35058848611507
10.089320297191238,4.240620531039106,-100.84055140693688
10.128174993343062,4.343862774401117,-101.241197890772
10.160538740910825,4.447105017763128,-101.5744382891733
10.188198989151296,4.55034726112514,-101.85865205749676
10.21269221257441,4.65358950448715,-102.10961094959086
10.23538352107861,4.756831747849161,-102.34129255989457
10.257538398621376,4.860073991211173,-102.56661269518304
10.280389379287408,4.963316234573184,-102.79810472906573
10.305200306453502,5.066558477935195,-103.04857261498267
10.333330572006943,5.169800721297206,-103.33174180654845
10.36630136550179,5.273042964659218,-103.66292867185886
10.405865396225112,5.376285208021228,-104.05974330087221
10.45408064631497,5.479527451383239,-104.5428315261496
10.51338726594503,5.5827696947452505,-105.13664747156817
10.586684456935446,5.686011938107262,-105.87022526310112
10.677400778146461,5.789254181469273,-106.77788437418808
10.789546420306596,5.892496424831284,-107.89975419272983
10.927729473851361,5.995738668193296,-109.28193813066049
11.097110343164175,6.098980911555307,-110.97605887290686
11.303260487111851,6.202223154917318,-113.0378466085026
11.551886435203409,6.305465398279329,-115.52437976620422
11.848382556800697,6.408707641641341,-118.48961304959371
12.197193374768059,6.511949885003352,-121.97800070754772
12.601005393114814,6.615192128365363,-126.0164147719237
13.059851759286238,6.7184343717273745,-130.60519153354707
13.570290843573082,6.821676615089386,-135.7099171825602
14.124884276185231,6.924918858451395,-141.25620815085313
14.712208924736835,7.0281611018134065,-147.12983111928685
15.317553800169797,7.131403345175418,-153.18367266103647
15.924276765847173,7.234645588537429,-159.2513072679766
16.51558406408933,7.33788783189944,-165.1647937931689
17.07634403917503,7.4411300752614515,-170.77281391268446
17.594533702827544,7.544372318623463,-175.95513887546963
18.06204985271124,7.647614561985474,-180.63074152705073
18.47482542317003,7.750856805347485,-184.75896039243088
18.832379011176197,7.854099048709497,-188.33499534350514
19.13702109835282,7.957341292071508,-191.38196327658915
19.392977048462352,8.06058353543352,-193.94215994246642
19.60552324312545,8.16382577879553,-196.06836810247285
19.780345502871118,8.267068022157542,-197.81748576014013
19.923052776906243,8.370310265519553,-199.24565144002247
20.038875313485526,8.473552508881564,-200.4052284654484
20.132503802721946,8.576794752243575,-201.34319969907978
20.208030132462415,8.680036995605587,-202.10057931822217
20.268954772489035,8.783279238967598,-202.71249201152787
20.31823356772697,8.88652148232961,-203.2086477095215
20.35834471467613,8.98976372569162,-203.61401998369203
20.391363463261115,9.093005969053632,-203.94960404006827
20.419037222206086,9.196248212415643,-204.23318173683248
20.442857367542683,9.299490455777653,-204.4800574588534
20.46412647538681,9.402732699139664,-204.70375314401196
20.484021261831433,9.505974942501675,-204.91666669897657
20.503652508621098,9.609217185863686,-205.13070843409614
20.52412391229817,9.712459429225698,-205.35793732136773
20.546592286753338,9.815701672587709,-205.6112245973906
20.57233200008049,9.91894391594972,-205.90497784088217
20.602807032826856,10.022186159311731,-206.25596525293227
20.639754688697394,10.125428402673743,-206.68428849130774
20.685285852211642,10.228670646035754,-207.21456419561855
20.742007865046464,10.331912889397765,-207.87739073311653
20.813177705977882,10.435155132759776,-208.71119971109547
20.902895378422826,10.538397376121788,-209.76462441326387
21.016350481489084,10.641639619483799,-211.0995640561661
21.160139234261063,10.74488186284581,-212.79519070614774
21.342675302998337,10.848124106207822,-214.9532461280863
21.574726527252594,10.951366349569833,-217.7051270827223
21.870122454832313,11.054608592931844,-221.22149002788726
22.246696754449875,11.157850836293855,-225.72547123847966
22.72755786265731,11.261093079655867,-231.51120514583687
23.34282707674884,11.364335323017878,-238.97029060648106
24.132056973159724,11.46757756637989,-248.630491619716
25.14766473319427,11.570819809741899,-261.21381327658867
26.45992226789829,11.67406205310391,-277.7262386506551
28.164423110040417,11.777304296465921,-299.6012055847302
30.393549292330174,11.880546539827932,-328.9368699231095
33.33491524194306,11.983788783189944,-368.9080499175369
37.26211738933462,12.087031026551955,-424.51495994293003
42.58890914852472,12.190273269913966,-504.03065449474116
49.97071660930125,12.293515513275977,-622.0089907462184
60.51024820096609,12.396757756637989,-806.1321905328672
76.21770612859841,12.5,-1114.7563053456618
