V (mL),pH
1e-08,2.279017907160893
1.6482772671317432,2.3822601505229044
3.0768700480591398,2.4855023938849157
4.307007189867786,2.5887446372469265
5.357833748418671,2.6919868806089378
6.247561521406933,2.795229123970949
6.994028631275216,2.8984713673329603
7.614748471229854,3.0017136106949716
8.126643833326288,3.104955854056983
8.54566878818381,3.208198097418994
8.886466047136373,3.3114403407810054
9.162136558294845,3.4146825841430166
9.384140130542692,3.5179248275050274
9.562310689742269,3.6211670708670387
9.704954965842314,3.72440931422905
9.819002074034081,3.827651557591061
9.910176896177505,3.930893800953072
9.983177736991589,4.034136044315083
10.041845873531498,4.137378287677095
10.089320297191238,4.240620531039106
10.128174993343062,4.343862774401117
10.160538740910825,4.447105017763128
10.188198989151296,4.55034726112514
10.21269221257441,4.65358950448715
10.23538352107861,4.756831747849161
10.257538398621376,4.860073991211173
10.280389379287408,4.963316234573184
10.305200306453502,5.066558477935195
10.333330572006943,5.169800721297206
10.36630136550179,5.273042964659218
10.405865396225112,5.376285208021228
10.45408064631497,5.479527451383239
10.51338726594503,5.5827696947452505
10.586684456935446,5.686011938107262
10.677400778146461,5.789254181469273
10.789546420306596,5.892496424831284
10.927729473851361,5.995738668193296
11.097110343164175,6.098980911555307
11.303260487111851,6.202223154917318
11.551886435203409,6.305465398279329
11.848382556800697,6.408707641641341
12.197193374768059,6.511949885003352
12.601005393114814,6.615192128365363
13.059851759286238,6.7184343717273745
13.570290843573082,6.821676615089386
14.124884276185231,6.924918858451395
14.712208924736835,7.0281611018134065
15.317553800169797,7.131403345175418
15.924276765847173,7.234645588537429
16.51558406408933,7.33788783189944
17.07634403917503,7.4411300752614515
17.594533702827544,7.544372318623463
18.06204985271124,7.647614561985474
18.47482542317003,7.750856805347485
18.832379011176197,7.854099048709497
19.13702109835282,7.957341292071508
19.392977048462352,8.06058353543352
19.60552324312545,8.16382577879553
19.780345502871118,8.267068022157542
19.923052776906243,8.370310265519553
20.038875313485526,8.473552508881564
20.132503802721946,8.576794752243575
20.208030132462415,8.680036995605587
20.268954772489035,8.783279238967598
20.31823356772697,8.88652148232961
20.35834471467613,8.98976372569162
20.391363463261115,9.093005969053632
20.419037222206086,9.196248212415643
20.442857367542683,9.299490455777653
20.46412647538681,9.402732699139664
20.484021261831433,9.505974942501675
20.503652508621098,9.609217185863686
20.52412391229817,9.712459429225698
20.546592286753338,9.815701672587709
20.57233200008049,9.91894391594972
20.602807032826856,10.022186159311731
20.639754688697394,10.125428402673743
20.685285852211642,10.228670646035754
20.742007865046464,10.331912889397765
20.813177705977882,10.435155132759776
20.902895378422826,10.538397376121788
21.016350481489084,10.641639619483799
21.160139234261063,10.74488186284581
21.342675302998337,10.848124106207822
21.574726527252594,10.951366349569833
21.870122454832313,11.054608592931844
22.246696754449875,11.157850836293855
22.72755786265731,11.261093079655867
23.34282707674884,11.364335323017878
24.132056973159724,11.46757756637989
25.14766473319427,11.570819809741899
26.45992226789829,11.67406205310391
28.164423110040417,11.777304296465921
30.393549292330174,11.880546539827932
33.33491524194306,11.983788783189944
37.26211738933462,12.087031026551955
42.58890914852472,12.190273269913966
49.97071660930125,12.293515513275977
60.51024820096609,12.396757756637989
76.21770612859841,12.5
